d_;D;T;C;Co;Y0;Fa axial static;Pu;Wnom;Wmax;Mass
25;62;36.5;64.4;80;0.8;100;8.65;6000;11000;0.55
30;72;41.5;80.9;100;0.8;125;11.4;5300;9500;0.85
35;80;45.5;105;134;0.8;168;15.6;4500;8500;1.1
40;90;50.5;146;163;0.8;204;19;4500;7500;1.5
45;100;54.5;180;204;0.8;255;24.5;4000;6700;2
50;90;43.5;130;183;1.6;114;20.8;4500;7500;1.1
50;110;58.5;208;240;0.8;300;28.5;3600;6000;2.6
55;90;54;180;270;2.2;123;30.5;4500;7000;1.35
55;120;63;209;275;0.8;344;33.5;3000;5600;3.3
60;95;46;163;245;1.6;153;27;4300;6700;1.9
60;130;67;246;335;0.8;419;40.5;2800;5300;4.1
65;120;49.5;228;270;1.6;169;32.5;3600;5600;1.2
65;140;72;281;380;0.8;475;47.5;2600;4800;5.05
70;110;50;172;305;1.6;191;34.5;3400;5600;1.8
70;110;62;220;400;2.5;160;45.5;3400;5600;2.4
70;150;76;319;440;0.8;550;54;2400;4500;6.15
75;115;62;233;455;2.2;207;52;3200;5300;2.4
75;125;74;303;530;1.6;331;63;3000;5000;3.8
75;130;54.5;238;355;1.6;222;41.5;3000;5000;2.85
75;130;66.5;275;425;1.6;266;49;3000;5000;3.4
80;125;58;233;430;1.6;269;49;3000;5000;2.65
80;140;70.5;319;490;1.6;306;57;2800;4500;4.25
80;170;85;380;530;0.8;663;64;2200;4000;8.75
85;130;58;238;450;1.6;281;51;2800;4800;2.8
85;130;72;308;620;2.2;282;69.5;2800;4800;3.55
